,Country,F2015,F2016,F2017,F2018,F2019,F2020
0,"Afghanistan, Islamic Rep. of",1.101,1.607,1.568,1.58,0.96,0.544
1,Albania,1.665,1.601,1.269,2.146,1.823,1.623
2,Algeria,1.101,1.736,1.498,1.211,1.094,1.913
3,American Samoa,0.394,0.924,0.82,0.574,0.924,0.815
4,"Andorra, Principality of",1.546,1.83,1.771,1.761,1.813,2.401
5,Angola,1.43,1.847,1.064,1.504,1.975,1.387
6,Anguilla,1.07,1.164,0.98,0.728,0.861,1.246
7,Antigua and Barbuda,1.032,1.105,0.965,0.694,0.806,1.141
8,Argentina,0.953,0.492,1.1,0.876,0.756,1.109
9,"Armenia, Rep. of",1.921,1.339,0.901,2.781,1.853,1.966
10,"Aruba, Kingdom of the Netherlands",1.604,0.781,1.177,0.817,1.152,1.479
11,Australia,1.062,1.145,1.122,1.112,1.411,1.404
12,Austria,2.183,2.111,1.753,2.535,2.369,2.32
13,"Azerbaijan, Rep. of",1.667,1.455,1.306,2.252,2.012,2.038
14,"Bahamas, The",1.23,1.164,1.456,1.168,1.585,1.693
15,"Bahrain, Kingdom of",2.212,1.489,1.95,2.11,1.986,1.982
16,Bangladesh,0.699,1.273,1.085,0.866,1.109,0.915
18,"Belarus, Rep. of",2.211,2.168,1.562,2.31,2.65,3.476
19,Belgium,1.35,1.861,1.695,2.151,2.038,2.528
20,Belize,1.385,1.25,1.144,0.612,1.309,1.511
21,Benin,1.317,1.248,1.372,1.233,1.329,1.236
22,Bhutan,0.88,1.312,1.304,1.212,1.127,0.966
23,Bolivia,1.286,0.514,0.716,0.285,0.713,1.167
24,Bosnia and Herzegovina,1.867,1.729,1.477,2.334,2.05,1.942
25,Botswana,1.949,1.837,0.367,1.059,1.912,0.85
26,Brazil,1.587,1.477,1.375,1.168,1.547,1.483
27,British Virgin Islands,1.107,1.222,0.994,0.761,0.915,1.351
28,Brunei Darussalam,1.102,1.581,1.128,1.07,1.372,1.367
29,Bulgaria,1.458,1.932,0.987,2.228,2.19,2.182
30,Burkina Faso,1.231,1.184,1.34,1.27,1.196,1.194
32,Cabo Verde,1.424,2.017,2.34,1.281,1.905,2.178
33,Cambodia,1.108,1.484,1.091,0.759,1.513,1.365
